date_str,degrees_from_mean,id,lon,lat,max_temp,min_temp,station_name,type,serialid,year,month,day,year_month,state
1986-03-27,22.17,USC00106542,-113.8981,42.2342,23.3,7.8,OAKLEY,Strong Hot,3066770,1986,3,27,1986.03,Idaho
1991-07-04,13.49,USC00043261,-119.7072,36.9969,43.3,23.9,FRIANT GOVERNMENT CAMP,Strong Hot,2531848,1991,7,4,1991.07,California
1988-06-05,19.57,USC00326365,-101.4897,46.8925,34.4,20.0,NEW SALEM 5NW,Strong Hot,2684517,1988,6,5,1988.06,North Dakota
1988-11-03,25.0,USW00024193,-114.0358,40.7206,20.0,12.2,WENDOVER AP AWOS,Strong Hot,2708432,1988,11,3,1988.11,Utah
1988-11-03,24.45,USC00422101,-112.6519,39.2872,22.2,8.3,DESERET,Strong Hot,2708459,1988,11,3,1988.11,Utah
1979-08-08,13.08,USC00058781,-104.7956,37.6303,35.6,20.0,WALSENBURG 1 NW,Strong Hot,1730557,1979,8,8,1979.08,Colorado
1982-12-05,27.56,USC00188065,-79.14,39.5103,20.0,6.7,SAVAGE RIVER DAM,Strong Hot,1246421,1982,12,5,1982.12,Maryland
1977-08-11,9.89,USC00312635,-76.5517,36.0164,35.6,25.6,EDENTON,Strong Hot,60939,1977,8,11,1977.08,North Carolina
1984-12-14,29.44,USC00150397,-85.3847,37.8194,21.1,15.0,BARDSTOWN 5E,Strong Hot,776776,1984,12,14,1984.12,Kentucky
1978-05-30,22.49,USC00170844,-70.7467,44.07,31.7,15.0,BRIDGTON 3 NW,Strong Hot,1059438,1978,5,30,1978.05,Maine
